primary,synonyms,description,
LOC400347,,,
LOC400446,,,
LOC400464,,,
LOC400499,,,
LOC400541,,,
LOC400553,,,
LOC400590,,,
LOC400622,,,
LOC400627,,,
LOC400655,,,
LOC400682,,,
LOC400684,,,
LOC400696,,,
LOC400706,,,
LOC400710,,,
LOC400743,,,
LOC400748,,,
LOC400750,,,
LOC400794,,,
LOC400800,,,
LOC400867,,,
LOC400940,,,
LOC400986,,,
LOC401002,,,
LOC401021,,,
LOC401040,,,
LOC401127,,,
LOC401131,,,
LOC401176,,,
LOC401191,,,
LOC401218,,,
LOC401261,,,
LOC401296,,,
LOC401297,,,
LOC401308,,,
LOC401309,,,
LOC401310,,,
LOC401312,,,
LOC401317,,,
LOC401318,,,
LOC401319,,,
LOC401320,,,
LOC401324,,,
LOC401327,,,
LOC401329,,,
LOC401336,,,
LOC401357,,,
LOC401365,,,
LOC401366,,,
LOC401367,,,
LOC401379,,,
LOC401385,,,
LOC401386,,,
LOC401390,,,
LOC401396,,,
LOC401398,,,
LOC401400,,,
LOC401404,,,
LOC401406,,,
LOC401407,,,
LOC401408,,,
LOC401410,,,
LOC401431,,,
LOC401433,,,
LOC401434,,,
LOC401435,,,
LOC401436,,,
LOC401437,,,
LOC401438,,,
LOC401442,,,
LOC401463,,,
LOC401471,,,
LOC401478,,,
LOC401554,,,
LOC401557,,,
LOC401585,,,
LOC401589,,,
LOC401602,,,
LOC401677,,,
LOC401679,,,
LOC401703,,,
LOC401767,,,
LOC401770,,,
LOC401777,,,
LOC401805,,,
LOC401864,,,
LOC401875,,,
LOC401913,,,
LOC401957,,,
LOC402076,,,
LOC402096,,,
LOC402182,,,
LOC402192,,,
LOC402221,,,
LOC402229,,,
LOC402230,,,
LOC402244,,,
LOC402245,,,
LOC402248,,,
LOC402251,,,
LOC402252,,,
LOC402253,,,
LOC402257,,,
LOC402279,,,
LOC402280,,,
LOC402286,,,
LOC402287,,,
LOC402289,,,
LOC402290,,,
LOC402292,,,
LOC402295,,,
LOC402299,,,
LOC402300,,,
LOC402301,,,
LOC402318,,,
LOC402319,,,
LOC402320,,,
LOC402321,,,
LOC402323,,,
LOC402329,,,
LOC402425,,,
LOC402468,,,
LOC402470,,,
LOC402471,,,
LOC402478,,,
LOC402482,,,
LOC402483,,,
LOC402538,,,
LOC402588,,,
LOC402624,,,
LOC402634,,,
LOC402641,,,
LOC402642,,,
LOC402695,,,
LOC402715,,,
LOC403312,,,
LOC403323,,,
LOC407835,,,
LOC414300,,,
LOC439933,,,
LOC440028,,,
LOC440040,,,
LOC440059,,,
LOC440084,,,
LOC440157,,,
LOC440173,,,
LOC440180,,,
LOC440181,,,
LOC440292,,,
LOC440300,,,
LOC440311,,,
LOC440313,,,
LOC440337,,,
LOC440346,,,
LOC440419,,,
LOC440434,,,
LOC440489,,,
LOC440514,,,
LOC440568,,,
LOC440570,,,
LOC440700,,,
LOC440742,,,
LOC440786,,,
LOC440792,,,
LOC440864,,,
LOC440895,,,
LOC440896,,,
LOC440910,,,
LOC440934,,,
LOC440973,,,
LOC440982,,,
LOC441052,,,
LOC441081,,,
LOC441086,,,
LOC441087,,,
LOC441098,,,
LOC441155,,,
LOC441178,,,
LOC441179,,,
LOC441204,,,
LOC441228,,,
LOC441239,,,
LOC441241,,,
LOC441242,,,
LOC441259,,,
LOC441309,,,
LOC441320,,,
LOC441426,,,
LOC441453,,,
LOC441454,,,
LOC441455,,,
LOC441487,,,
LOC441488,,,
LOC441493,,,
LOC441511,,,
LOC441592,,,
LOC441601,,,
LOC441644,,,
LOC441666,,,
LOC441711,,,
LOC441722,,,
LOC441728,,,
LOC441750,,,
LOC441768,,,
LOC441784,,,
LOC441806,,,
LOC441862,,,
LOC441880,,,
LOC441887,,,
LOC441904,,,
LOC441907,,,
LOC441914,,,
LOC441996,,,
LOC442017,,,
LOC442028,,,
LOC442041,,,
LOC442042,,,
LOC442058,,,
LOC442063,,,
LOC442064,,,
LOC442087,,,
LOC442113,,,
LOC442132,,,
LOC442155,,,
LOC442161,,,
LOC442172,,,
LOC442225,,,
LOC442244,,,
LOC442263,,,
LOC442272,,,
LOC442292,,,
LOC442293,,,
LOC442309,,,
LOC442382,,,
LOC442389,,,
LOC442427,,,
LOC442443,,,
LOC442445,,,
LOC442497,,,
LOC442517,,,
LOC442572,,,
LOC442603,,,
LOC442727,,,
LOC494127,,,
LOC494141,,,
LOC497256,,,
LOC503540,,,
LOC51035,,,
LOC51057,,,
LOC51064,GSTK1,,
LOC51145,,,
LOC51277,,,
LOC51315,,,
LOC54103,,,
LOC541467,,,
LOC541469,YIF1B,,
LOC541472,,,
LOC541473,,,
LOC550113,,,
LOC550644,,,
LOC553139,,,
LOC553158,,,
LOC553939,,,
LOC554174,,,
LOC554206,,,
LOC554207,,,
LOC554223,,,
LOC554248,,,
LOC554249,,,
LOC55565,,,
LOC55908,,,
LOC56901,,,
LOC57146,,,
LOC57149,,,
LOC57228,,,
LOC574080,,,
LOC574538,,,
LOC606724,,,
LOC613038,,,
LOC613206,,,
LOC613266,,,
LOC619539,,,
LOC619540,,,
LOC641367,,,
LOC641378,,,
LOC641381,,,
LOC641518,,,
LOC641589,,,
LOC641695,,,
LOC641708,,,
LOC641746,,,
LOC642031,,,
LOC642131,,,
LOC642204,,,
LOC642249,,,
LOC642355,,,
LOC642361,,,
LOC642366,,,
LOC642381,,,
LOC642414,,,
LOC642423,,,
LOC642474,,,
LOC642484,,,
LOC642487,,,
LOC642490,,,
LOC642496,,,
LOC642502,,,
LOC642550,,,
LOC642554,,,
LOC642579,,,
LOC642590,,,
LOC642635,,,
LOC642648,,,
LOC642661,,,
LOC642669,,,
LOC642677,,,
LOC642692,,,
LOC642696,,,
LOC642791,,,
LOC642846,,,
LOC642852,,,
LOC642862,,,
LOC642890,,,
LOC642897,,,
LOC642929,,,
LOC642943,,,
LOC642947,,,
LOC642969,,,
LOC642975,,,
LOC643014,,,
LOC643015,,,
LOC643043,,,
LOC643058,,,
LOC643067,,,
LOC643072,,,
LOC643118,,,
LOC643167,,,
LOC643168,,,
LOC643172,,,
LOC643201,,,
LOC643307,,,
LOC643327,,,
LOC643339,,,
LOC643342,,,
LOC643348,,,
LOC643367,,,
LOC643371,,,
LOC643373,,,
LOC643381,,,
LOC643387,,,
LOC643406,,,
LOC643438,,,
LOC643441,,,
LOC643454,,,
LOC643494,,,
LOC643542,,,
LOC643554,,,
LOC643562,,,
LOC643576,,,
LOC643605,,,
LOC643630,,,
LOC643634,,,
LOC643648,,,
LOC643650,,,
LOC643699,,,
LOC643709,,,
LOC643711,,,
LOC643733,,,
LOC643784,,,
LOC643802,,,
LOC643855,,,
LOC643888,,,
LOC643896,,,
LOC643916,,,
LOC644006,,,
LOC644051,,,
LOC644060,,,
LOC644090,,,
LOC644110,,,
LOC644135,,,
LOC644158,,,
LOC644169,,,
LOC644189,,,
LOC644203,,,
LOC644215,,,
LOC644242,,,
LOC644246,,,
LOC644249,,,
LOC644261,,,
LOC644265,,,
LOC644269,,,
LOC644277,,,
LOC644285,,,
LOC644295,,,
LOC644303,,,
LOC644310,,,
LOC644335,,,
LOC644366,,,
LOC644383,,,
LOC644387,,,
LOC644422,,,
LOC644436,,,
LOC644450,,,
LOC644456,,,
LOC644462,,,
LOC644525,,,
LOC644554,,,
LOC644563,,,
LOC644584,,,
LOC644617,,,
LOC644634,,,
LOC644656,,,
LOC644661,,,
LOC644667,,,
LOC644669,,,
LOC644681,,,
LOC644721,,,
LOC644746,,,
LOC644762,,,
LOC644776,,,
LOC644794,,,
LOC644893,,,
LOC644906,,,
LOC644909,,,
LOC644924,,,
LOC644936,,,
LOC645086,,,
LOC645135,,,
LOC645139,,,
LOC645158,,,
LOC645163,,,
LOC645177,,,
LOC645180,,,
LOC645181,,,
LOC645188,SPANX+AC0-L,uncharacterized LOC645188,
LOC645202,,,
LOC645212,,,
LOC645249,,,
LOC645261,,,
LOC645266,,,
LOC645272,,,
LOC645297,,,
LOC645314,,,
LOC645319,,,
LOC645324,,,
LOC645339,,,
LOC645357,,,
LOC645388,,,
LOC645397,,,
LOC645405,,,
LOC645415,,,
LOC645433,,,
LOC645468,,,
LOC645481,,,
LOC645482,,,
LOC645485,,,
LOC645513,,,
LOC645529,,,
LOC645544,,,
LOC645749,,,
LOC645752,,,
LOC645763,,,
LOC645773,,,
LOC645852,,,
LOC645853,,,
LOC645877,,,
LOC645895,,,
LOC645937,,,
LOC645938,,,
LOC645965,,,
LOC645967,,,
LOC645978,,,
LOC646012,,,
LOC646029,,,
LOC646030,,,
LOC646044,,,
LOC646050,,,
LOC646058,,,
LOC646071,,,
LOC646112,,,
LOC646120,,,
LOC646127,,,
LOC646140,,,
LOC646197,,,
LOC646203,,,
LOC646214,,,
LOC646216,,,
LOC646227,,,
LOC646274,,,
LOC646347,,,
LOC646358,,,
LOC646383,,,
LOC646388,,,
LOC646408,,,
LOC646430,,,
LOC646471,,,
LOC646506,,,
LOC646517,,,
LOC646522,,,
LOC646548,,,
LOC646555,,,
LOC646588,,,
LOC646616,,,
LOC646626,,,
LOC646629,,,
LOC646639,,,
LOC646644,,,
LOC646652,,,
LOC646665,,,
LOC646666,,,
LOC646674,,,
LOC646696,,,
LOC646700,,,
LOC646708,,,
LOC646709,,,
LOC646730,,,
LOC646736,,,
LOC646745,,,
LOC646762,,,
LOC646794,,,
LOC646797,,,
LOC646801,,,
LOC646804,,,
LOC646813,,,
LOC646828,,,
LOC646853,,,
LOC646870,,,
LOC646890,,,
LOC646903,,,
LOC646927,,,
LOC646934,,,
LOC646938,,,
LOC646970,,,
LOC646976,,,
LOC646995,,,
LOC646999,,,
LOC647002,,,
LOC647070,,,
LOC647077,,,
LOC647086,,,
LOC647107,,,
LOC647132,,,
LOC647145,,,
LOC647150,,,
LOC647208,,,
LOC647211,,,
LOC647253,,,
LOC647264,,,
LOC647275,,,
LOC647299,,,
LOC647323,,,
LOC647481,,,
LOC647503,,,
LOC647996,,,
LOC648232,,,
LOC648442,,,
LOC648771,,,
LOC648774,,,
LOC648927,,,
LOC648934,,,
LOC648987,,,
LOC649024,,,
LOC649133,,,
LOC649166,,,
LOC649305,,,
LOC649352,,,
LOC650024,,,
LOC650181,,,
LOC650226,,,
LOC650293,,,
LOC650392,,,
LOC650866,,,
LOC651337,,,
LOC651644,,,
LOC651721,,,
LOC651900,,,
LOC652203,,,
LOC652276,,,
LOC652549,,,
LOC652608,,,
LOC653071,,,
LOC653080,,,
LOC653155,,,
LOC653160,,,
LOC653303,,,
LOC653406,,,
LOC653503,,,
LOC653513,,,
LOC653588,,,
LOC653631,,,
LOC653653,,,
LOC653698,,,
LOC653712,,,
LOC653739,,,
LOC654338,,,
LOC654780,SFPQ,splicing factor proline/glutamine+AC0-rich,
LOC654841,,,
LOC677762,,,
LOC692246,,,
LOC692247,,,
LOC724060,,,
LOC724065,,,
LOC724084,,,
LOC724085,,,
LOC724104,,,
LOC724105,,,
LOC727681,,,
LOC727709,,,
LOC727713,,,
LOC727751,,,
LOC727803,,,
LOC727838,,,
LOC727874,,,
LOC727884,,,
LOC727896,,,
LOC727919,,,
LOC727930,,,
LOC727947,,,
LOC727978,,,
LOC727980,,,
LOC728024,,,
LOC728026,,,
LOC728032,,,
LOC728048,,,
LOC728095,,,
LOC728098,,,
LOC728138,,,
LOC728145,,,
LOC728158,,,
LOC728196,,,
LOC728307,,,
LOC728317,,,
LOC728327,,,
LOC728376,,,
LOC728377,,,
LOC728392,,,
LOC728395,,,
LOC728416,,,
LOC728417,,,
LOC728424,,,
LOC728452,,,
LOC728470,,,
LOC728485,,,
LOC728488,,,
LOC728499,,,
LOC728506,,,
LOC728519,BIRC+AHw-NAIP1B,NLR family apoptosis inhibitory protein pseudogene,
LOC728526,,,
LOC728533,,,
LOC728535,,,
LOC728540,,,
LOC728549,,,
LOC728554,,,
LOC728575,,,
LOC728587,,,
LOC728602,,,
LOC728613,,,
LOC728660,,,
LOC728667,,,
LOC728673,,,
LOC728688,,,
LOC728715,,,
LOC728730,,,
LOC728739,,,
LOC728741,,,
LOC728743,,,
LOC728752,,,
LOC728755,,,
LOC728807,,,
LOC728811,,,
LOC728815,,,
LOC728825,,,
LOC728835,,,
LOC728853,,,
LOC728877,,,
LOC728975,,,
LOC728989,,,
LOC729033,,,
LOC729040,,,
LOC729056,,,
LOC729057,,,
LOC729080,,,
LOC729086,,,
LOC729126,,,
LOC729141,,,
LOC729159,,,
LOC729200,,,
LOC729217,,,
LOC729218,,,
LOC729224,,,
LOC729254,,,
LOC729291,,,
LOC729296,,,
LOC729305,,,
LOC729316,,,
LOC729317,,,
LOC729334,,,
LOC729369,,,
LOC729421,,,
LOC729444,,,
LOC729451,,,
LOC729496,,,
LOC729532,,,
LOC729557,,,
LOC729558,,,
LOC729603,,,
LOC729609,,,
LOC729652,,,
LOC729654,,,
LOC729674,,,
LOC729681,,,
LOC729683,,,
LOC729707,,,
LOC729722,,,
LOC729732,,,
LOC729737,,,
LOC729774,,,
LOC729800,,,
LOC729815,,,
LOC729835,,,
LOC729839,,,
LOC729856,,,
LOC729859,,,
LOC729862,,,
LOC729867,,,
LOC729870,,,
LOC729900,,,
LOC729930,,,
LOC729941,,,
LOC729945,,,
LOC729956,,,
LOC729960,,,
LOC729966,,,
LOC729968,,,
LOC729970,,,
LOC729973,,,
LOC729998,,,
LOC729999,,,
LOC730021,,,
LOC730043,,,
LOC730069,,,
LOC730076,,,
LOC730098,,,
LOC730100,,,
LOC730101,,,
LOC730110,,,
LOC730129,,,
LOC730183,,,
LOC730202,,,
LOC730222,,,
LOC730234,,,
LOC730257,,,
LOC730268,,,
LOC730338,,,
LOC730441,,,
LOC730535,,,
LOC730668,,,
LOC731075,,,
LOC731157,,,
LOC731605,,,
LOC731631,,,
LOC731755,,,
LOC732229,,,
LOC732265,,,
LOC751602,,,
LOC751603,,,
LOC751837,,,
LOC777650,,,
LOC780780,,,
LOC791091,,,
LOC791092,,,
LOC791093,,,
LOC791095,,,
LOC791096,,,
LOC791097,,,
LOC791098,,,
LOC791126,,,
LOC79999,,,
LOC81691,,,
LOC84214,,,
LOC84524,,,
LOC84661,,,
LOC89844,,,
LOC89944,,,
LOC90246,,,
LOC90693,,,
LOC90768,,,
LOC91370,,,
LOC91450,,,
LOC91526,,,
LOC91548,,,
LOC91661,,,
LOC92270,,,
LOC92689,,,
LOC92691,,,
LOC93343,,,
LOC93429,,,
LOC93463,,,
LOC93622,,,
LOH11CR2A,,,
LOH12CR2,LOH2CR12,loss of heterozygosity+AHw- 12+AHw- chromosomal region 2,
LOH19CR1,DBA,loss of heterozygosity+AHw- 19+AHw- chromosomal region 1,
LOH1CR1,,,
LONP1,CODASS+AHw-LON+AHw-LONP+AHw-LonHS+AHw-PIM1+AHw-PRSS15+AHw-hLON+AHw-LonHS+AHw-hLON+AHw-PIM1+AHw-PRSS15+AHw-PRSS15,lon peptidase 1+AHw- mitochondrial,
LONP2,LONP+AHw-LONPL+AHw-PLON+AHw-PSLON+AHw-MGC4840+AHw-LONP+AHw-LONPL+AHw-LONP,lon peptidase 2+AHw- peroxisomal,
LONRF1,RNF191+AHw-FLJ23749+AHw-RNF191+AHw-RNF191,LON peptidase N+AC0-terminal domain and ring finger 1,
LONRF2,RNF192+AHw-FLJ45273+AHw-RNF192+AHw-RNF192,LON peptidase N+AC0-terminal domain and ring finger 2,
LONRF2P1,,,
LONRF2P2,,,
LONRF3,RNF127+AHw-FLJ22612+AHw-RNF127+AHw-RNF127,LON peptidase N+AC0-terminal domain and ring finger 3,
LOR,LRN,,
LOX,AAT10,lysyl oxidase,
LOXHD1,DFNB77+AHw-LH2D1+AHw-FLJ32670+AHw-LH2D1+AHw-DFNB77,lipoxygenase homology domains 1,
LOXL1,LOL+AHw-LOXL+AHw-LOXL+AHw-LOL+AHw-LOXL,lysyl oxidase like 1,
LOXL1+AC0-AS1,,,
LOXL2,LOR+AHw-LOR2+AHw-WS9+AC0-14+AHw-WS9+AC0-14+AHw-LOR,lysyl oxidase like 2,
LOXL3,LOXL+AHw-LOXL,lysyl oxidase like 3,
LOXL4,LOXC+AHw-FLJ21889+AHw-LOXC+AHw-LOXC,lysyl oxidase like 4,
LPA,AK38+AHw-APOA+AHw-LP+AHw-Lp(a)+AHw-LP,lipoprotein(a),
LPAL1,,,
LPAL2,APOA2+AHw-APOAL+AHw-APOARGC+AHw-apo(a)rg+AC0-C+AHw-APOARGC,lipoprotein(a) like 2+AHw- pseudogene,
LPAR1,EDG2+AHw-GPR26+AHw-Gpcr26+AHw-LPA1+AHw-Mrec1.3+AHw-VZG1+AHw-edg+AC0-2+AHw-rec.1.3+AHw-vzg+AC0-1+AHw-edg+AC0-2+AHw-rec.1.3+AHw-vzg+AC0-1+AHw-Gpcr26+AHw-Mrec1.3+AHw-LPA1+AHw-GPR26+AHw-EDG2+AHw-EDG2+AHw-LPA1,lysophosphatidic acid receptor 1,
LPAR2,EDG+AC0-4+AHw-EDG4+AHw-LPA+AC0-2+AHw-LPA2+AHw-EDG+AC0-4+AHw-LPA2+AHw-EDG4+AHw-EDG4+AHw-LPA2,lysophosphatidic acid receptor 2,
LPAR3,EDG7+AHw-Edg+AC0-7+AHw-GPCR+AHw-HOFNH30+AHw-LP+AC0-A3+AHw-LPA3+AHw-RP4+AC0-678I3+AHw-LP+AC0-A3+AHw-Edg+AC0-7+AHw-RP4+AC0-678I3+AHw-HOFNH30+AHw-LPA3+AHw-EDG7+AHw-EDG7+AHw-LPA3,lysophosphatidic acid receptor 3,
LPAR4,GPR23+AHw-LPA4+AHw-P2RY9+AHw-P2Y5+AC0-LIKE+AHw-P2Y9+AHw-P2Y9+AHw-P2Y5+AC0-LIKE+AHw-P2RY9+AHw-LPA4+AHw-GPR23+AHw-GPR23+AHw-LPA4+AHw-P2RY9,lysophosphatidic acid receptor 4,
LPAR5,GPR92+AHw-GPR93+AHw-KPG+AF8-010+AHw-LPA5+AHw-KPG+AF8-010+AHw-LPA5+AHw-GPR93+AHw-GPR92+AHw-GPR92+AHw-GPR93,lysophosphatidic acid receptor 5,
LPAR6,ARWH1+AHw-HYPT8+AHw-LAH3+AHw-P2RY5+AHw-P2Y5+AHw-P2Y5+AHw-P2RY5+AHw-P2RY5,lysophosphatidic acid receptor 6,
LPCAT1,AGPAT10+AHw-AGPAT9+AHw-AYTL2+AHw-LPCAT+AC0-1+AHw-PFAAP3+AHw-lpcat+AHw-lysoPAFAT+AHw-FLJ12443+AHw-AGPAT9+AHw-AGPAT10+AHw-AYTL2+AHw-AYTL2+AHw-PFAAP3,lysophosphatidylcholine acyltransferase 1,
LPCAT2,AGPAT11+AHw-AYTL1+AHw-LysoPAFAT+AHw-FLJ20481+AHw-AGPAT11+AHw-LysoPAFAT+AHw-AYTL1+AHw-AGPAT11+AHw-AYTL1,lysophosphatidylcholine acyltransferase 2,
LPCAT2BP,,,
LPCAT3,C3F+AHw-LPCAT+AHw-LPLAT 5+AHw-LPSAT+AHw-MBOAT5+AHw-OACT5+AHw-nessy+AHw-C3F+AHw-nessy+AHw-OACT5+AHw-MBOAT5+AHw-MBOAT5+AHw-OACT5,lysophosphatidylcholine acyltransferase 3,
LPCAT4,AGPAT7+AHw-AYTL3+AHw-LPAAT+AC0-eta+AHw-LPEAT2+AHw-FLJ10257+AHw-LPAAT+AC0-eta+AHw-LPEAT2+AHw-AYTL3+AHw-AGPAT7+AHw-AGPAT7+AHw-AYTL3+AHw-LPEAT2,lysophosphatidylcholine acyltransferase 4,
LPEQ6126,,,
LPGAT1,FAM34A+AHw-FAM34A1+AHw-NET8+AHw-KIAA0205+AHw-FAM34A1+AHw-NET8+AHw-FAM34A+AHw-FAM34A+AHw-KIAA0205,lysophosphatidylglycerol acyltransferase 1,
LPGAT1P1,FAM34A2P+AHw-FAM34BP,lysophosphatidylglycerol acyltransferase 1 pseudogene 1,
LPHH1,,,
LPHN1,,,
LPHN3,,,
LPIN1,PAP1+AHw-KIAA0188+AHw-KIAA0188,lipin 1,
LPIN2,KIAA0249+AHw-KIAA0249,,
LPIN3,LIPN3L+AHw-SMP2+AHw-SMP2+AHw-LIPN3L+AHw-LIPN3L,lipin 3,
LPL,HDLCQ11+AHw-LIPD+AHw-LIPD+AHw-LIPD,lipoprotein lipase,
LPO,SPO+AHw-SPO+AHw-SAPX,lactoperoxidase,
LPP,,,
LPP+AC0-AS1,,,
LPP+AC0-AS2,MYCLo+AC0-5+AHw-MYCLo+AC0-6,LPP antisense RNA 2,
LPPR2,,,
LPPR4,,,
LPRS,LPRS1,Leprosy+AHw- susceptibility to 1,
LPRS6,,,
LPSA,D19S381E,Oncogene liposarcoma (DNA segment+AHw- single copy+AHw- expressed+AHw- probes,
LPXN,LDPL+AHw-LDPL+AHw-LDLP,leupaxin,
LQFBS+AC0-1,,,
LR8,,,
LRAT,LCA14+AHw-LCA14,lecithin retinol acyltransferase,
LRBA,BGL+AHw-CDC4L+AHw-CVID8+AHw-LAB300+AHw-LBA+AHw-BGL+AHw-LAB300+AHw-LBA+AHw-CDC4L+AHw-BGL+AHw-CDC4L+AHw-LBA,LPS responsive beige+AC0-like anchor protein,
LRCH1,CHDC1+AHw-NP81+AHw-KIAA1016+AHw-CHDC1+AHw-CHDC1+AHw-KIAA1016,leucine rich repeats and calponin homology domain containing 1,
LRCH2,dA204F4.4+AHw-KIAA1495+AHw-KIAA1495,leucine rich repeats and calponin homology domain containing 2,
LRCH3,MGC4126,,
LRCH4,LRN+AHw-LRRN1+AHw-LRRN4+AHw-PP14183+AHw-LRN+AHw-LRRN1+AHw-LRN+AHw-LRRN1+AHw-LRRN4,leucine rich repeats and calponin homology domain containing 4,
LRCOL1,,,
LRFN1,SALM2+AHw-KIAA1484+AHw-SALM2+AHw-KIAA1484+AHw-SALM2,leucine rich repeat and fibronectin type III domain containing 1,
LRFN2,FIGLER2+AHw-KIAA1246+AHw-SALM1+AHw-FIGLER2+AHw-KIAA1246+AHw-SALM1+AHw-KIAA1246+AHw-SALM1,leucine rich repeat and fibronectin type III domain containing 2,
LRFN3,FIGLER1+AHw-SALM4+AHw-MGC2656+AHw-SALM4+AHw-FIGLER1+AHw-SALM4,leucine rich repeat and fibronectin type III domain containing 3,
LRFN4,FIGLER6+AHw-SALM3+AHw-SALM3.+AHw-MGC3103+AHw-SALM3.+AHw-FIGLER6+AHw-SALM3,leucine rich repeat and fibronectin type III domain containing 4,
LRFN5,C14orf146+AHw-FIGLER8+AHw-SALM5+AHw-FIGLER8+AHw-SALM5+AHw-C14orf146+AHw-C14orf146+AHw-SALM5,leucine rich repeat and fibronectin type III domain containing 5,
LRG1,HMFT1766+AHw-LRG+AHw-LRG+AHw-LRG,leucine rich alpha+AC0-2+AC0-glycoprotein 1,
LRGUK,CFAP246+AHw-FLJ32786+AHw-CFAP246,leucine rich repeats and guanylate kinase domain containing,
LRIF1,C1orf103+AHw-RIF1+AHw-RIF1+AHw-FLJ11269+AHw-C1orf103+AHw-C1orf103+AHw-RIF1,ligand dependent nuclear receptor interacting factor 1,
LRIG1,LIG+AC0-1+AHw-LIG1+AHw-LIG+AC0-1+AHw-DKFZP586O1624+AHw-LIG1+AHw-LIG1,leucine rich repeats and immunoglobulin like domains 1,
LRIG2,LIG+AC0-2+AHw-LIG2+AHw-UFS2+AHw-KIAA0806+AHw-KIAA0806+AHw-LIG2,leucine rich repeats and immunoglobulin like domains 2,
LRIG3,LIG3+AHw-FLJ90440+AHw-KIAA3016+AHw-LIG3,leucine rich repeats and immunoglobulin like domains 3,
LRIG3(NM+AF8-001136051)+AC0-ROS1,,,
LRIG3(NM+AF8-153377)+AC0-ROS1,,,
LRIT1,FIGLER9+AHw-LRRC21+AHw-PAL+AHw-PAL+AHw-DKFZP434K091+AHw-FIGLER9+AHw-LRRC21+AHw-LRRC21+AHw-PAL,leucine rich repeat+AHw- Ig+AC0-like and transmembrane domains 1,
LRIT2,LRRC22+AHw-AC022389.4+AHw-LRRC22+AHw-LRRC22,leucine rich repeat+AHw- Ig+AC0-like and transmembrane domains 2,
LRIT3,CSNB1F+AHw-FIGLER4+AHw-FLJ44691+AHw-FIGLER4+AHw-CSNB1F,leucine rich repeat+AHw- Ig+AC0-like and transmembrane domains 3,
LRLE1,,,
LRMDA,C10orf11+AHw-CDA017+AHw-CDA017+AHw-OCA7+AHw-C10orf11,leucine rich melanocyte differentiation associated,
LRMP,JAW1+AHw-JAW1+AHw-JAW1,lymphoid restricted membrane protein,
LRP,,,
LRP1,A2MR+AHw-APOER+AHw-APR+AHw-CD91+AHw-IGFBP+AC0-3R+AHw-IGFBP3R+AHw-IGFBP3R1+AHw-KPA+AHw-LRP+AHw-LRP1A+AHw-TGFBR5+AHw-LRP+AHw-CD91+AHw-LRP1A+AHw-APOER+AHw-APR+AHw-A2MR+AHw-IGFBP3R1+AHw-IGFBP+AC0-3R+AHw-A2MR+AHw-APR,LDL receptor related protein 1,
LRP1+AC0-AS,,,
LRP10,LRP+AC0-10+AHw-LRP9+AHw-MST087+AHw-MSTP087+AHw-DKFZP564C1940+AHw-MGC8675+AHw-LRP9+AHw-MST087+AHw-MSTP087,LDL receptor related protein 10,
LRP11,MANSC3+AHw-bA350J20.3+AHw-bA350J20.3+AHw-MANSC3,LDL receptor related protein 11,
LRP12,ST7+AHw-ST7+AHw-FLJ12929+AHw-ST7,LDL receptor related protein 12,
LRP1B,LRP+AC0-1B+AHw-LRP+AC0-DIT+AHw-LRPDIT+AHw-LRP+AC0-DIT+AHw-LRPDIT+AHw-LRPDIT,LDL receptor related protein 1B,
LRP2,DBS+AHw-GP330+AHw-gp330+AHw-DBS,LDL receptor related protein 2,
LRP2BP,DKFZp761O0113+AHw-KIAA1325,,
LRP3,LRP+AC0-3+AHw-hLRp105,,
LRP4,CLSS+AHw-CMS17+AHw-LRP+AC0-4+AHw-LRP10+AHw-MEGF7+AHw-SOST2+AHw-MEGF7+AHw-CLSS+AHw-LRP+AC0-4+AHw-SOST2+AHw-KIAA0816+AHw-LRP10+AHw-MEGF7,LDL receptor related protein 4,
LRP4+AC0-AS1,,,
LRP5,BMND1+AHw-EVR1+AHw-EVR4+AHw-HBM+AHw-LR3+AHw-LRP+AC0-5+AHw-LRP7+AHw-OPPG+AHw-OPS+AHw-OPTA1+AHw-PCLD4+AHw-VBCH2+AHw-LR3+AHw-BMND1+AHw-HBM+AHw-OPS+AHw-OPTA1+AHw-VBCH2+AHw-EVR4+AHw-LRP7+AHw-OPPG+AHw-EVR1+AHw-LR3+AHw-LRP7,LDL receptor related protein 5,
LRP5L,DKFZp434O0213,,
LRP6,ADCAD2+AHw-STHAG7+AHw-ADCAD2,LDL receptor related protein 6,
LRP8,APOER2+AHw-HSZ75190+AHw-LRP+AC0-8+AHw-MCI1+AHw-APOER2+AHw-MCI1+AHw-LRP+AC0-8+AHw-HSZ75190+AHw-APOER2,LDL receptor related protein 8,
LRPAP1,A2MRAP+AHw-A2RAP+AHw-HBP44+AHw-MRAP+AHw-MYP23+AHw-RAP+AHw-alpha+AC0-2+AC0-MRAP+AHw-HBP44+AHw-A2MRAP+AHw-RAP+AHw-A2MRAP,LDL receptor related protein associated protein 1,
LRPPRC,CLONE+AC0-23970+AHw-GP130+AHw-LRP130+AHw-LSFC+AHw-GP130+AHw-LRP130+AHw-LSFC+AHw-LRP130,leucine rich pentatricopeptide repeat containing,
LRR1,4+AC0-1BBLRR+AHw-LRR+AC0-1+AHw-PPIL5+AHw-MGC20689+AHw-LRR+AC0-1+AHw-PPIL5+AHw-PPIL5,leucine rich repeat protein 1,
LRRC1,LANO+AHw-dJ523E19.1+AHw-dJ523E19.1+AHw-LANO+AHw-FLJ10775+AHw-FLJ11834+AHw-LANO,leucine rich repeat containing 1,
